,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence
456,Yes,Yes,No,Yes,I don't know,Somewhat difficult,No,No
457,Yes,No,No,I don't know,I don't know,Somewhat easy,Maybe,Maybe
458,Yes,I am not sure,No,I don't know,I don't know,Very easy,No,No
459,Not eligible for coverage / N/A,,Yes,No,Yes,Neither easy nor difficult,No,No
460,No,,No,No,I don't know,Neither easy nor difficult,Maybe,Maybe
461,I don't know,I am not sure,No,No,I don't know,Neither easy nor difficult,Yes,Yes
462,Yes,I am not sure,No,No,I don't know,Somewhat easy,No,No
463,,,,,,,,
464,I don't know,No,No,No,I don't know,Very difficult,Yes,No
465,Yes,No,No,No,I don't know,Neither easy nor difficult,No,No
466,Yes,Yes,No,No,No,Somewhat easy,No,No
467,No,No,No,No,I don't know,Somewhat difficult,Yes,No
468,,,,,,,,
469,Yes,Yes,Yes,Yes,I don't know,Somewhat easy,No,No
470,No,No,No,I don't know,I don't know,Neither easy nor difficult,No,No
471,Yes,I am not sure,I don't know,Yes,Yes,Very easy,No,No
472,Yes,I am not sure,No,No,I don't know,Somewhat easy,No,No
473,Yes,Yes,No,No,Yes,Neither easy nor difficult,No,No
474,I don't know,I am not sure,No,No,I don't know,Very easy,No,No
475,Yes,I am not sure,No,Yes,I don't know,Somewhat difficult,Maybe,No
476,I don't know,I am not sure,No,No,I don't know,Somewhat easy,Maybe,Maybe
477,Yes,I am not sure,No,No,Yes,Somewhat difficult,Maybe,Maybe
478,I don't know,I am not sure,No,No,I don't know,I don't know,No,No
479,I don't know,No,No,I don't know,I don't know,Neither easy nor difficult,Yes,No
480,I don't know,No,No,No,I don't know,I don't know,Yes,No
481,Yes,No,No,Yes,Yes,I don't know,Maybe,No
482,,,,,,,,
483,Yes,I am not sure,Yes,Yes,I don't know,Neither easy nor difficult,Maybe,No
484,I don't know,I am not sure,No,I don't know,No,Neither easy nor difficult,Maybe,Maybe
485,,,,,,,,
486,,,,,,,,
487,Not eligible for coverage / N/A,I am not sure,I don't know,I don't know,I don't know,I don't know,Yes,Maybe
488,,,,,,,,
489,I don't know,I am not sure,I don't know,I don't know,I don't know,Very easy,No,No
490,No,,No,No,I don't know,Somewhat difficult,Maybe,Maybe
491,Yes,No,No,Yes,I don't know,Somewhat difficult,Yes,No
492,No,I am not sure,Yes,No,I don't know,Somewhat difficult,Maybe,No
493,I don't know,No,No,I don't know,I don't know,Very easy,Maybe,No
494,Yes,Yes,No,I don't know,I don't know,Very easy,No,No
495,Yes,Yes,No,No,Yes,Very difficult,Maybe,No
496,Yes,Yes,Yes,No,I don't know,Very easy,No,No
497,Yes,No,No,I don't know,I don't know,Very easy,Maybe,Maybe
498,,,,,,,,
499,,,,,,,,
500,I don't know,I am not sure,No,I don't know,I don't know,I don't know,Maybe,Maybe
501,,,,,,,,
502,Yes,I am not sure,No,I don't know,No,Very difficult,Yes,Maybe
503,I don't know,I am not sure,No,No,I don't know,Neither easy nor difficult,Maybe,No
504,Yes,No,Yes,I don't know,I don't know,Somewhat easy,No,Maybe
505,No,Yes,No,No,No,Very difficult,Yes,No
506,No,,No,No,I don't know,Very difficult,Yes,Maybe
507,Yes,Yes,No,No,I don't know,Somewhat difficult,No,No
508,Yes,No,No,No,I don't know,Very difficult,No,No
509,Yes,No,No,Yes,No,Neither easy nor difficult,Yes,Yes
510,Yes,I am not sure,Yes,Yes,Yes,Somewhat difficult,No,No
511,,,,,,,,
512,Yes,Yes,Yes,Yes,I don't know,I don't know,Maybe,No
513,Yes,No,Yes,Yes,I don't know,I don't know,No,No
514,Yes,Yes,No,No,I don't know,Neither easy nor difficult,No,No
515,I don't know,I am not sure,Yes,I don't know,Yes,Somewhat easy,Yes,No
516,,,,,,,,
517,No,No,Yes,Yes,I don't know,Somewhat easy,Maybe,No
518,,,,,,,,
519,,,,,,,,
520,I don't know,I am not sure,No,No,I don't know,I don't know,Yes,Yes
521,Not eligible for coverage / N/A,,No,I don't know,I don't know,Neither easy nor difficult,Maybe,No
522,,,,,,,,
523,No,No,No,No,No,Somewhat difficult,Yes,Maybe
524,,,,,,,,
525,I don't know,I am not sure,No,No,Yes,Somewhat easy,No,No
526,Yes,I am not sure,Yes,Yes,Yes,Somewhat easy,No,No
527,I don't know,No,No,No,I don't know,Neither easy nor difficult,Maybe,Maybe
528,I don't know,I am not sure,No,I don't know,Yes,Somewhat easy,Yes,No
529,No,Yes,No,I don't know,I don't know,Neither easy nor difficult,No,No
530,,,,,,,,
531,,,,,,,,
532,I don't know,No,No,No,I don't know,Very difficult,Maybe,No
533,No,,No,No,I don't know,Somewhat easy,Maybe,Maybe
534,,,,,,,,
535,I don't know,I am not sure,No,No,I don't know,Neither easy nor difficult,No,No
536,No,I am not sure,No,No,I don't know,Somewhat easy,Yes,No
537,No,No,No,No,No,Somewhat difficult,Maybe,No
538,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No
539,,,,,,,,
540,Yes,I am not sure,I don't know,I don't know,Yes,Very easy,No,No
541,,,,,,,,
542,No,No,No,No,I don't know,I don't know,Maybe,No
543,I don't know,No,I don't know,No,I don't know,Neither easy nor difficult,No,No
544,I don't know,I am not sure,Yes,I don't know,I don't know,Somewhat easy,Maybe,No
545,Not eligible for coverage / N/A,,Yes,Yes,Yes,Very easy,No,No
546,,,,,,,,
547,I don't know,I am not sure,No,No,I don't know,Somewhat easy,Maybe,Maybe
548,No,No,No,Yes,I don't know,Neither easy nor difficult,Maybe,No
549,Yes,I am not sure,I don't know,Yes,I don't know,Very easy,Maybe,No
550,I don't know,I am not sure,No,I don't know,I don't know,Somewhat easy,No,No
551,I don't know,I am not sure,No,I don't know,I don't know,Very easy,No,No
552,Yes,No,I don't know,Yes,I don't know,Somewhat difficult,Maybe,Maybe
553,I don't know,No,No,I don't know,I don't know,Very easy,No,No
554,Yes,I am not sure,Yes,I don't know,I don't know,I don't know,Maybe,No
555,No,Yes,No,No,I don't know,Somewhat difficult,Yes,No
556,I don't know,No,No,I don't know,I don't know,Neither easy nor difficult,No,No
557,Not eligible for coverage / N/A,,No,No,I don't know,Very easy,No,No
558,Yes,Yes,No,No,Yes,Very easy,Yes,No
559,Yes,I am not sure,No,No,I don't know,Neither easy nor difficult,No,Maybe
560,No,,No,No,Yes,Very easy,No,No
561,I don't know,I am not sure,No,I don't know,Yes,Somewhat easy,No,No
562,I don't know,I am not sure,I don't know,I don't know,I don't know,Somewhat easy,No,No
563,,,,,,,,
564,Yes,No,I don't know,I don't know,I don't know,I don't know,No,No
565,No,No,No,No,I don't know,I don't know,No,No
566,No,I am not sure,No,No,I don't know,Very difficult,Yes,Maybe
567,No,No,No,No,I don't know,Somewhat difficult,Maybe,Maybe
568,I don't know,I am not sure,Yes,Yes,Yes,Very easy,No,No
569,I don't know,No,I don't know,I don't know,I don't know,Somewhat difficult,No,No
570,No,,No,No,I don't know,Somewhat difficult,Maybe,No
571,Yes,I am not sure,No,No,I don't know,Somewhat easy,No,No
572,Yes,No,Yes,I don't know,Yes,Very easy,No,No
573,Yes,Yes,No,I don't know,I don't know,I don't know,Maybe,Maybe
574,Yes,Yes,Yes,I don't know,I don't know,Neither easy nor difficult,No,No
575,,,,,,,,
576,Yes,No,No,I don't know,I don't know,I don't know,Yes,No
577,Yes,I am not sure,No,I don't know,I don't know,Somewhat easy,No,No
578,Yes,Yes,No,No,I don't know,I don't know,No,No
579,I don't know,I am not sure,No,No,I don't know,Somewhat easy,Maybe,No
580,,,,,,,,
581,Not eligible for coverage / N/A,Yes,No,No,No,Somewhat difficult,Yes,No
582,,,,,,,,
583,Not eligible for coverage / N/A,I am not sure,I don't know,I don't know,I don't know,Somewhat difficult,Yes,No
584,I don't know,No,No,I don't know,Yes,Somewhat easy,No,No
585,Yes,Yes,No,No,I don't know,Neither easy nor difficult,No,No
586,No,,No,No,I don't know,Very easy,No,No
587,Yes,Yes,I don't know,I don't know,I don't know,Somewhat difficult,Yes,Maybe
588,Not eligible for coverage / N/A,I am not sure,No,No,I don't know,Somewhat easy,Maybe,No
589,I don't know,I am not sure,No,I don't know,No,Somewhat easy,Maybe,No
590,I don't know,I am not sure,No,No,I don't know,Somewhat easy,No,No
591,Yes,Yes,No,Yes,Yes,Neither easy nor difficult,No,No
592,Yes,Yes,No,No,I don't know,Somewhat difficult,Maybe,No
593,I don't know,I am not sure,No,No,I don't know,Somewhat easy,No,No
594,Yes,Yes,I don't know,I don't know,I don't know,Very difficult,Maybe,Maybe
595,I don't know,I am not sure,No,I don't know,I don't know,Neither easy nor difficult,Maybe,Maybe
596,,,,,,,,
597,,,,,,,,
598,Yes,Yes,No,I don't know,Yes,Very easy,No,No
599,Yes,Yes,Yes,Yes,I don't know,I don't know,Maybe,Maybe
600,I don't know,I am not sure,Yes,No,I don't know,Somewhat easy,No,No
601,Not eligible for coverage / N/A,,No,No,No,Very easy,No,No
602,,,,,,,,
603,Yes,Yes,Yes,No,No,Very easy,No,No
604,No,,No,No,I don't know,I don't know,No,No
605,I don't know,No,No,I don't know,I don't know,Somewhat difficult,Maybe,Maybe
606,Yes,I am not sure,No,Yes,I don't know,Very easy,Maybe,Maybe
607,,,,,,,,
608,,,,,,,,
609,Yes,Yes,No,No,Yes,Very easy,Maybe,No
610,I don't know,I am not sure,No,I don't know,I don't know,Somewhat easy,Maybe,Maybe
611,Not eligible for coverage / N/A,,Yes,Yes,I don't know,Very easy,No,No
612,Yes,No,No,I don't know,I don't know,Very difficult,Yes,No
613,I don't know,,No,No,I don't know,Very difficult,Maybe,Maybe
614,,,,,,,,
615,Yes,No,No,No,Yes,Very easy,No,No
616,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No
617,Yes,Yes,I don't know,I don't know,No,Somewhat difficult,Yes,No
618,Not eligible for coverage / N/A,,Yes,Yes,Yes,Very easy,No,No
619,,,,,,,,
620,Yes,I am not sure,Yes,Yes,Yes,Very easy,No,No
621,Yes,I am not sure,No,I don't know,I don't know,Very difficult,Maybe,No
622,Yes,No,Yes,Yes,Yes,Neither easy nor difficult,No,No
623,,,,,,,,
624,Yes,I am not sure,No,No,Yes,Somewhat difficult,Maybe,No
625,I don't know,I am not sure,No,No,I don't know,I don't know,Yes,Maybe
626,No,,No,No,No,Somewhat difficult,Maybe,No
627,Not eligible for coverage / N/A,,No,No,I don't know,Somewhat easy,No,No
628,Yes,I am not sure,No,Yes,I don't know,Somewhat difficult,Maybe,No
629,Yes,I am not sure,No,No,I don't know,Somewhat difficult,Maybe,No
630,I don't know,I am not sure,Yes,Yes,I don't know,Very easy,No,No
631,,,,,,,,
632,Yes,Yes,Yes,No,Yes,Somewhat difficult,Maybe,Maybe
633,Yes,No,Yes,Yes,Yes,Somewhat difficult,Yes,Maybe
634,Yes,Yes,No,No,I don't know,Very easy,No,No
635,Yes,I am not sure,No,I don't know,Yes,Neither easy nor difficult,Maybe,No
636,Yes,No,No,Yes,I don't know,Very easy,No,No
637,Yes,Yes,No,No,I don't know,Somewhat easy,Maybe,No
638,No,,No,No,I don't know,Neither easy nor difficult,Maybe,Maybe
639,,,,,,,,
640,I don't know,No,No,No,Yes,Somewhat difficult,Maybe,No
641,Not eligible for coverage / N/A,,No,No,I don't know,Somewhat easy,Maybe,Maybe
642,No,,No,No,Yes,Somewhat difficult,Maybe,Maybe
643,I don't know,No,No,No,I don't know,Somewhat easy,Maybe,No
644,Yes,Yes,Yes,Yes,I don't know,Somewhat difficult,Maybe,No
645,I don't know,I am not sure,Yes,I don't know,I don't know,Somewhat easy,No,No
646,,,,,,,,
647,,,,,,,,
648,I don't know,No,Yes,Yes,I don't know,I don't know,Yes,Maybe
649,Yes,No,I don't know,I don't know,I don't know,I don't know,Maybe,No
650,No,No,No,No,Yes,Very difficult,Yes,Yes
651,,,,,,,,
652,I don't know,No,I don't know,I don't know,I don't know,I don't know,Maybe,No
653,No,,No,No,No,Very difficult,Yes,Yes
654,Yes,Yes,No,Yes,Yes,I don't know,Yes,No
655,I don't know,I am not sure,No,I don't know,No,Somewhat easy,Yes,No
656,Yes,I am not sure,Yes,Yes,I don't know,Somewhat easy,Maybe,No
657,I don't know,No,Yes,Yes,Yes,I don't know,No,Maybe
658,I don't know,No,Yes,I don't know,I don't know,Very easy,No,No
659,Yes,I am not sure,No,No,Yes,Very easy,No,No
660,Yes,I am not sure,No,No,I don't know,Neither easy nor difficult,Yes,No
661,Yes,Yes,Yes,Yes,Yes,Neither easy nor difficult,No,No
662,,,,,,,,
663,No,I am not sure,No,No,I don't know,Somewhat easy,Maybe,Maybe
664,No,No,I don't know,I don't know,I don't know,Neither easy nor difficult,Yes,Maybe
665,Not eligible for coverage / N/A,I am not sure,No,No,I don't know,Neither easy nor difficult,No,No
666,Yes,Yes,No,No,Yes,Somewhat difficult,Yes,No
667,Yes,Yes,No,Yes,Yes,Neither easy nor difficult,Maybe,No
668,,,,,,,,
669,No,Yes,No,No,No,Very difficult,Maybe,No
670,I don't know,I am not sure,No,No,I don't know,Somewhat difficult,Maybe,Maybe
671,Yes,I am not sure,No,I don't know,I don't know,Somewhat difficult,Maybe,No
672,Yes,I am not sure,No,Yes,Yes,Somewhat easy,No,No
673,I don't know,No,No,I don't know,I don't know,Neither easy nor difficult,Yes,Maybe
674,Yes,Yes,No,No,Yes,Very difficult,Yes,No
675,Yes,No,Yes,Yes,Yes,Somewhat easy,Maybe,No
676,,,,,,,,
677,Yes,No,No,Yes,Yes,Very easy,No,No
678,Yes,I am not sure,Yes,No,I don't know,Somewhat easy,Maybe,No
679,Yes,Yes,Yes,Yes,Yes,Neither easy nor difficult,Maybe,No
680,Yes,Yes,No,No,Yes,Somewhat difficult,Yes,No
681,I don't know,No,No,No,I don't know,I don't know,No,No
682,,,,,,,,
683,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No
684,Yes,Yes,No,Yes,I don't know,Somewhat easy,No,No
685,Yes,Yes,Yes,Yes,I don't know,Neither easy nor difficult,Yes,No
686,Yes,Yes,Yes,Yes,Yes,Neither easy nor difficult,No,Maybe
687,I don't know,I am not sure,Yes,Yes,Yes,Neither easy nor difficult,Maybe,No
688,I don't know,No,No,No,I don't know,Very easy,Yes,No
689,Yes,Yes,No,No,I don't know,Neither easy nor difficult,Maybe,No
690,Yes,Yes,No,I don't know,I don't know,Somewhat easy,Maybe,No
691,Yes,Yes,No,No,No,Very difficult,Yes,Yes
692,I don't know,No,Yes,Yes,Yes,Somewhat easy,No,No
693,I don't know,I am not sure,I don't know,I don't know,I don't know,Neither easy nor difficult,No,No
694,Yes,No,No,I don't know,Yes,Very difficult,Maybe,No
695,Yes,I am not sure,Yes,Yes,I don't know,I don't know,Maybe,No
696,,,,,,,,
697,I don't know,No,No,I don't know,No,Very difficult,Maybe,Maybe
698,,,,,,,,
699,I don't know,No,No,No,I don't know,Very difficult,Maybe,Maybe
700,,,,,,,,
701,No,No,No,No,I don't know,Somewhat difficult,Maybe,No
702,I don't know,I am not sure,No,No,I don't know,Very difficult,Maybe,Maybe
703,Not eligible for coverage / N/A,,No,No,I don't know,Neither easy nor difficult,Maybe,No
704,No,No,No,No,I don't know,Somewhat easy,No,No
705,No,No,Yes,Yes,No,Somewhat easy,Yes,No
706,No,No,No,No,I don't know,Somewhat difficult,Maybe,No
707,I don't know,No,No,I don't know,I don't know,Somewhat difficult,Yes,Maybe
708,,,,,,,,
709,I don't know,I am not sure,No,I don't know,I don't know,I don't know,Maybe,No
710,Yes,I am not sure,Yes,Yes,No,Very difficult,Yes,No
711,,,,,,,,
712,,,,,,,,
713,Yes,Yes,I don't know,I don't know,I don't know,Neither easy nor difficult,No,No
714,Not eligible for coverage / N/A,,No,Yes,I don't know,Very difficult,Yes,No
715,No,I am not sure,No,Yes,I don't know,Very easy,No,No
716,,,,,,,,
717,No,No,Yes,Yes,Yes,Somewhat difficult,No,No
718,Yes,Yes,No,Yes,Yes,Very easy,No,No
719,,,,,,,,
720,I don't know,I am not sure,Yes,I don't know,I don't know,Very easy,No,No
721,Yes,Yes,Yes,No,No,Somewhat easy,No,No
722,No,No,Yes,No,I don't know,I don't know,Yes,Yes
723,,,,,,,,
724,I don't know,I am not sure,No,I don't know,I don't know,Somewhat difficult,Maybe,No
725,I don't know,No,No,No,I don't know,Somewhat difficult,Maybe,Maybe
726,Not eligible for coverage / N/A,Yes,No,No,Yes,Somewhat difficult,Yes,No
727,,,,,,,,
728,,,,,,,,
729,Yes,Yes,Yes,Yes,Yes,Neither easy nor difficult,No,No
730,No,,I don't know,I don't know,I don't know,Somewhat difficult,No,No
731,I don't know,I am not sure,No,I don't know,I don't know,Neither easy nor difficult,No,No
732,Yes,Yes,No,I don't know,I don't know,Somewhat easy,Maybe,No
733,I don't know,I am not sure,No,I don't know,I don't know,I don't know,No,No
734,,,,,,,,
735,,,,,,,,
736,,,,,,,,
737,Not eligible for coverage / N/A,I am not sure,Yes,Yes,Yes,Somewhat easy,No,No
738,Yes,I am not sure,No,Yes,Yes,Somewhat easy,No,No
739,,,,,,,,
740,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No
741,I don't know,I am not sure,Yes,Yes,Yes,Very easy,No,No
742,Yes,Yes,No,No,I don't know,Very easy,No,No
743,,,,,,,,
744,Yes,Yes,No,No,I don't know,Somewhat difficult,Maybe,No
745,Yes,I am not sure,No,Yes,Yes,Very easy,No,No
746,,,,,,,,
747,,,,,,,,
748,,,,,,,,
749,,,,,,,,
750,No,,No,No,I don't know,Very difficult,Yes,Yes
751,,,,,,,,
752,,,,,,,,
753,,,,,,,,
754,No,No,No,No,No,Very easy,No,No
755,Yes,No,No,No,Yes,Somewhat easy,Maybe,No
756,Yes,Yes,Yes,Yes,Yes,Very easy,Maybe,No
757,Not eligible for coverage / N/A,,Yes,Yes,Yes,Very easy,No,No
758,Yes,Yes,No,Yes,Yes,Somewhat easy,Maybe,No
759,I don't know,I am not sure,Yes,Yes,Yes,Neither easy nor difficult,No,No
760,I don't know,No,No,I don't know,I don't know,I don't know,Maybe,Maybe
761,Yes,I am not sure,No,No,I don't know,Very difficult,Maybe,Maybe
762,Yes,Yes,Yes,No,Yes,Very easy,No,No
763,I don't know,No,No,I don't know,I don't know,Somewhat difficult,No,No
764,,,,,,,,
765,Yes,Yes,No,No,I don't know,I don't know,Maybe,Maybe
766,,,,,,,,
767,I don't know,I am not sure,No,I don't know,I don't know,Somewhat easy,Maybe,Maybe
768,,,,,,,,
769,,,,,,,,
770,No,I am not sure,No,No,I don't know,Somewhat difficult,Maybe,No
771,Yes,No,No,No,I don't know,I don't know,No,No
772,Not eligible for coverage / N/A,,No,I don't know,I don't know,Very difficult,Yes,Maybe
773,Not eligible for coverage / N/A,,Yes,Yes,Yes,Very easy,No,No
774,,,,,,,,
775,,,,,,,,
776,Yes,Yes,No,I don't know,I don't know,I don't know,Yes,No
777,Yes,Yes,Yes,Yes,Yes,Very easy,Maybe,No
778,Yes,Yes,No,Yes,No,Somewhat easy,Maybe,Maybe
779,Yes,I am not sure,No,I don't know,Yes,Neither easy nor difficult,Maybe,No
780,I don't know,I am not sure,No,No,I don't know,Somewhat easy,Maybe,Maybe
781,Yes,No,No,Yes,I don't know,I don't know,Maybe,No
782,Yes,Yes,No,No,I don't know,Very easy,No,No
783,Yes,Yes,No,No,Yes,Somewhat easy,Yes,Maybe
784,,,,,,,,
785,No,No,No,No,I don't know,Neither easy nor difficult,No,No
786,,,,,,,,
787,I don't know,I am not sure,No,I don't know,I don't know,Very easy,No,No
788,,,,,,,,
789,,,,,,,,
790,Yes,No,I don't know,Yes,I don't know,Somewhat difficult,Maybe,Maybe
791,I don't know,No,No,I don't know,I don't know,Somewhat difficult,Yes,Maybe
792,Yes,Yes,I don't know,I don't know,Yes,Somewhat easy,No,No
793,Yes,No,No,No,I don't know,Somewhat difficult,Maybe,No
794,I don't know,No,No,No,I don't know,Somewhat easy,Maybe,No
795,Yes,Yes,I don't know,Yes,Yes,I don't know,Maybe,Maybe
796,I don't know,I am not sure,Yes,Yes,I don't know,Very easy,No,No
797,,,,,,,,
798,Yes,I am not sure,No,No,I don't know,Neither easy nor difficult,Maybe,No
799,Yes,Yes,No,No,Yes,Somewhat easy,Maybe,No
800,,,,,,,,
801,I don't know,No,No,I don't know,I don't know,Somewhat easy,Maybe,Maybe
802,,,,,,,,
803,No,No,No,No,I don't know,Neither easy nor difficult,Yes,Maybe
804,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,No
805,Yes,No,I don't know,I don't know,I don't know,Neither easy nor difficult,Maybe,Maybe
806,Not eligible for coverage / N/A,,No,No,I don't know,Somewhat difficult,Yes,Yes
807,Yes,I am not sure,No,No,I don't know,Very difficult,Yes,Yes
808,,,,,,,,
809,Yes,No,No,No,I don't know,Somewhat difficult,Maybe,Maybe
810,No,I am not sure,No,No,I don't know,Neither easy nor difficult,Maybe,No
811,,,,,,,,
812,No,No,No,No,No,Very easy,No,Maybe
813,Yes,I am not sure,No,No,Yes,Somewhat easy,Maybe,No
814,I don't know,No,No,I don't know,I don't know,I don't know,Maybe,No
815,Not eligible for coverage / N/A,,No,No,I don't know,Somewhat difficult,No,No
816,,,,,,,,
817,I don't know,I am not sure,No,No,Yes,Neither easy nor difficult,Maybe,No
818,I don't know,I am not sure,No,I don't know,I don't know,Neither easy nor difficult,Maybe,Maybe
819,I don't know,I am not sure,No,No,I don't know,Very easy,No,No
820,,,,,,,,
821,I don't know,No,No,No,I don't know,Very difficult,Maybe,No
822,Yes,No,No,No,I don't know,Very difficult,Maybe,No
823,,,,,,,,
824,No,No,No,No,I don't know,I don't know,Yes,Maybe
825,Yes,I am not sure,I don't know,Yes,I don't know,I don't know,Maybe,No
826,Yes,Yes,No,No,No,Very difficult,Maybe,No
827,I don't know,No,I don't know,I don't know,I don't know,Very easy,No,No
828,,,,,,,,
829,I don't know,I am not sure,No,No,I don't know,I don't know,No,No
830,I don't know,No,No,Yes,I don't know,I don't know,Maybe,No
831,Yes,I am not sure,No,I don't know,I don't know,Somewhat easy,No,No
832,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No
833,Yes,No,No,No,I don't know,Somewhat difficult,No,No
834,No,No,No,No,I don't know,Somewhat easy,No,No
835,Yes,Yes,No,I don't know,Yes,Neither easy nor difficult,No,No
836,I don't know,No,No,No,I don't know,I don't know,No,No
837,I don't know,I am not sure,I don't know,I don't know,I don't know,Somewhat easy,No,No
838,Yes,I am not sure,No,No,I don't know,Very difficult,Yes,Maybe
839,,,,,,,,
840,,,,,,,,
841,No,No,No,No,No,Very difficult,Yes,Yes
842,Yes,No,No,I don't know,Yes,Very difficult,No,No
843,,,,,,,,
844,Yes,Yes,No,No,Yes,Somewhat easy,No,No
845,Yes,I am not sure,Yes,I don't know,I don't know,Somewhat easy,Maybe,No
846,Yes,Yes,No,I don't know,Yes,Somewhat easy,Yes,Maybe
847,No,I am not sure,No,No,I don't know,Neither easy nor difficult,Maybe,No
848,I don't know,I am not sure,Yes,Yes,I don't know,Very difficult,Yes,No
849,Yes,Yes,Yes,Yes,Yes,Neither easy nor difficult,No,No
850,,,,,,,,
851,Yes,I am not sure,I don't know,Yes,Yes,Neither easy nor difficult,Maybe,No
852,No,I am not sure,Yes,I don't know,Yes,Somewhat difficult,Yes,No
853,I don't know,I am not sure,No,No,I don't know,Somewhat difficult,Maybe,No
854,Yes,No,No,I don't know,I don't know,Very easy,Maybe,No
855,Yes,I am not sure,No,I don't know,I don't know,Somewhat easy,Maybe,No
856,,,,,,,,
857,Yes,I am not sure,Yes,No,Yes,Very difficult,Yes,No
858,I don't know,I am not sure,I don't know,Yes,Yes,Very easy,No,No
859,I don't know,No,I don't know,I don't know,I don't know,Very easy,No,No
860,I don't know,No,No,No,I don't know,Somewhat easy,Maybe,No
861,I don't know,I am not sure,No,No,I don't know,I don't know,Maybe,No
862,No,,Yes,Yes,I don't know,Somewhat easy,No,No
863,I don't know,I am not sure,Yes,Yes,Yes,Very easy,No,No
864,I don't know,No,No,I don't know,I don't know,Very easy,No,No
865,No,,No,No,I don't know,Very easy,No,No
866,I don't know,I am not sure,No,No,I don't know,Somewhat difficult,Yes,Maybe
867,,,,,,,,
868,Not eligible for coverage / N/A,,No,Yes,Yes,Very easy,No,No
869,I don't know,No,No,No,I don't know,Very difficult,Yes,No
870,Yes,Yes,No,I don't know,I don't know,Somewhat easy,Yes,Maybe
871,,,,,,,,
872,,,,,,,,
873,,,,,,,,
874,I don't know,No,No,I don't know,I don't know,Very difficult,Yes,Maybe
875,I don't know,I am not sure,No,No,I don't know,Somewhat easy,Maybe,No
876,No,No,No,No,I don't know,I don't know,No,No
877,,,,,,,,
878,Yes,Yes,I don't know,Yes,Yes,Somewhat easy,Maybe,No
879,,,,,,,,
880,Not eligible for coverage / N/A,,No,I don't know,I don't know,Somewhat easy,No,No
881,Yes,Yes,No,Yes,No,Very easy,Yes,No
882,I don't know,No,No,I don't know,I don't know,Somewhat difficult,Maybe,Maybe
883,I don't know,No,No,I don't know,I don't know,Somewhat easy,No,No
884,I don't know,I am not sure,No,I don't know,Yes,Neither easy nor difficult,Maybe,No
885,,,,,,,,
886,,,,,,,,
887,,,,,,,,
888,,,,,,,,
889,I don't know,I am not sure,Yes,No,I don't know,Somewhat easy,No,No
890,I don't know,No,No,Yes,Yes,Neither easy nor difficult,No,No
891,,,,,,,,
892,,,,,,,,
893,No,,No,No,No,Very easy,No,No
894,,,,,,,,
895,Not eligible for coverage / N/A,,No,Yes,I don't know,Neither easy nor difficult,Maybe,No
896,,,,,,,,
897,,,,,,,,
898,Yes,Yes,No,I don't know,I don't know,Somewhat difficult,Yes,Maybe
899,,,,,,,,
900,,,,,,,,
901,,,,,,,,
902,,,,,,,,
903,No,,No,No,I don't know,Neither easy nor difficult,Maybe,No
904,I don't know,No,No,I don't know,I don't know,Somewhat difficult,Maybe,No
905,I don't know,No,No,Yes,Yes,I don't know,No,No
906,Not eligible for coverage / N/A,,I don't know,I don't know,I don't know,Very difficult,Yes,Maybe
907,,,,,,,,
908,Yes,Yes,No,No,Yes,Somewhat difficult,Maybe,No
909,,,,,,,,
910,No,Yes,No,No,I don't know,Somewhat easy,Maybe,No
911,No,Yes,No,No,I don't know,Somewhat easy,Maybe,No
912,,,,,,,,
913,No,,No,No,I don't know,Somewhat easy,No,No
914,,,,,,,,
915,Not eligible for coverage / N/A,I am not sure,Yes,No,Yes,Very easy,No,No
916,Yes,Yes,No,I don't know,Yes,Somewhat easy,Maybe,No
917,No,No,No,No,No,I don't know,Maybe,No
918,,,,,,,,
919,No,,Yes,No,Yes,Very easy,No,No
920,,,,,,,,
921,,,,,,,,
922,,,,,,,,
923,I don't know,No,No,I don't know,I don't know,Very easy,No,No
924,I don't know,I am not sure,I don't know,I don't know,I don't know,Very easy,No,No
925,,,,,,,,
926,I don't know,,I don't know,I don't know,I don't know,I don't know,No,No
927,,,,,,,,
928,I don't know,No,No,I don't know,I don't know,Very easy,No,No
929,No,I am not sure,Yes,No,I don't know,Somewhat easy,No,No
930,No,Yes,No,No,No,Somewhat easy,Maybe,No
931,Yes,Yes,Yes,Yes,No,Very easy,Maybe,No
932,I don't know,No,I don't know,I don't know,I don't know,Somewhat easy,Yes,Maybe
933,Yes,I am not sure,No,No,Yes,Somewhat difficult,Maybe,No
934,Not eligible for coverage / N/A,I am not sure,No,I don't know,I don't know,Somewhat difficult,Maybe,Maybe
935,Yes,I am not sure,No,No,Yes,Somewhat easy,No,No
936,No,,I don't know,No,I don't know,Somewhat easy,No,No
937,I don't know,I am not sure,Yes,I don't know,Yes,Very easy,No,No
938,I don't know,I am not sure,No,I don't know,I don't know,I don't know,Maybe,No
939,No,,No,No,I don't know,Somewhat difficult,No,No
940,,,,,,,,
