,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence
432,No,No,No,No,Yes,Somewhat easy,Yes,Maybe
433,Don't know,No,No,No,Don't know,Don't know,Maybe,No
434,Don't know,Not sure,No,No,Don't know,Somewhat difficult,Maybe,Maybe
435,Don't know,No,No,Don't know,Don't know,Don't know,No,No
436,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,No,No
437,Don't know,Not sure,Don't know,Don't know,Yes,Very easy,No,No
438,Yes,Yes,No,Don't know,Don't know,Don't know,Maybe,No
439,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No
440,No,No,No,No,Don't know,Don't know,Maybe,Maybe
441,Yes,No,Yes,Don't know,Don't know,Somewhat easy,Maybe,No
442,Yes,Yes,Yes,Yes,Yes,Don't know,Maybe,No
443,Yes,No,Don't know,No,Don't know,Don't know,No,No
444,Yes,Yes,No,No,Yes,Very easy,No,No
445,Yes,No,No,Don't know,Don't know,Don't know,Yes,No
446,Yes,Not sure,Don't know,Don't know,Don't know,Don't know,Maybe,No
447,Yes,Yes,No,No,Don't know,Somewhat difficult,Yes,Maybe
448,Yes,Yes,Yes,No,Don't know,Don't know,No,No
449,Yes,Yes,Yes,Yes,Don't know,Don't know,Maybe,Maybe
450,Yes,Yes,No,No,Yes,Very easy,No,No
451,Yes,Yes,Yes,Don't know,Yes,Don't know,Yes,Maybe
452,Yes,Yes,Yes,No,Don't know,Very difficult,Yes,No
453,Don't know,Not sure,No,No,Don't know,Don't know,Yes,Yes
454,Don't know,Not sure,No,Don't know,Don't know,Don't know,Yes,No
455,Don't know,No,No,No,Yes,Somewhat easy,No,No
456,No,Yes,No,No,Don't know,Somewhat easy,Maybe,No
457,Yes,No,No,No,Yes,Don't know,Yes,No
458,No,No,No,No,Don't know,Don't know,Maybe,No
459,Yes,No,No,No,Don't know,Don't know,Maybe,Maybe
460,Don't know,No,Don't know,Don't know,Don't know,Don't know,No,No
461,Yes,Not sure,Yes,Yes,Don't know,Very easy,Maybe,No
462,No,Yes,No,No,Don't know,Somewhat easy,Yes,Maybe
463,Don't know,Not sure,No,No,Don't know,Somewhat difficult,Maybe,Maybe
464,Don't know,No,Yes,Don't know,Don't know,Somewhat easy,Yes,No
465,No,No,No,No,Yes,Somewhat easy,Maybe,Maybe
466,Yes,Yes,No,No,Don't know,Don't know,Maybe,No
467,No,No,No,No,No,Very difficult,Yes,Maybe
468,No,Yes,No,No,Don't know,Don't know,Maybe,No
469,Yes,Yes,No,No,Yes,Don't know,Yes,No
470,Yes,Yes,Yes,Yes,Yes,Very easy,No,No
471,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,No
472,Don't know,No,No,No,Don't know,Very difficult,Yes,No
473,Yes,Yes,No,Yes,Don't know,Don't know,Yes,No
474,Don't know,No,No,No,Don't know,Very difficult,Maybe,No
475,Yes,Not sure,Yes,Yes,Don't know,Don't know,Maybe,Maybe
476,No,Not sure,No,No,Don't know,Somewhat difficult,Yes,Maybe
477,Don't know,No,Don't know,Don't know,Don't know,Don't know,No,Maybe
478,Don't know,No,No,Don't know,Don't know,Very easy,Yes,No
479,Don't know,Not sure,No,No,Don't know,Don't know,Maybe,No
480,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,No,No
481,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Yes,Maybe
482,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,Maybe,Maybe
483,Yes,Yes,No,No,Don't know,Don't know,Maybe,No
484,Don't know,No,No,Don't know,Don't know,Don't know,Maybe,No
485,No,Yes,Don't know,No,Don't know,Somewhat easy,Maybe,No
486,Don't know,Not sure,No,No,Don't know,Don't know,Yes,Maybe
487,No,Yes,No,No,Yes,Very easy,No,No
488,No,No,No,No,Yes,Very easy,Maybe,No
489,No,No,No,No,Don't know,Don't know,Maybe,Maybe
490,Yes,Not sure,Don't know,Don't know,Yes,Don't know,No,No
491,Don't know,Not sure,No,No,Don't know,Don't know,No,No
492,No,No,No,No,Don't know,Somewhat difficult,Yes,No
493,No,No,Don't know,Don't know,Don't know,Don't know,No,No
494,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,Maybe,No
495,Yes,Not sure,Don't know,No,Don't know,Don't know,Maybe,No
496,Yes,Not sure,No,No,Don't know,Somewhat difficult,Yes,Maybe
497,Don't know,Not sure,No,No,Yes,Somewhat difficult,Yes,No
498,No,Yes,Yes,Yes,Yes,Very easy,No,No
499,Don't know,Not sure,Don't know,Don't know,Don't know,Somewhat easy,No,No
500,Yes,Yes,No,No,Yes,Don't know,Maybe,Maybe
501,No,No,No,No,No,Don't know,Yes,Maybe
502,No,Not sure,No,Don't know,Don't know,Don't know,No,No
503,Don't know,Not sure,Don't know,Yes,Don't know,Don't know,No,No
504,No,Yes,No,No,Don't know,Don't know,Yes,Maybe
505,Yes,Yes,Yes,Yes,Don't know,Don't know,Maybe,No
506,Yes,No,Yes,No,Don't know,Very difficult,Maybe,No
507,Yes,No,No,No,Don't know,Don't know,No,No
508,Yes,Yes,Yes,Yes,Don't know,Very easy,No,No
509,Yes,Not sure,Yes,Don't know,Yes,Don't know,No,No
510,Yes,Yes,Yes,Yes,Don't know,Very easy,No,No
511,No,No,No,No,No,Somewhat easy,Maybe,No
512,Don't know,Not sure,No,Don't know,Don't know,Don't know,Maybe,No
513,Yes,Yes,Yes,Yes,Yes,Very easy,No,No
514,Yes,Not sure,Yes,Yes,Yes,Don't know,Yes,No
515,Don't know,No,No,Don't know,Don't know,Don't know,Maybe,No
516,Yes,Not sure,Yes,Yes,Yes,Don't know,No,No
517,Yes,Yes,Yes,Yes,Yes,Very easy,Maybe,No
518,Yes,Yes,No,No,Yes,Very easy,Yes,Yes
519,No,Yes,No,No,Yes,Very easy,Maybe,Maybe
520,Yes,Yes,Don't know,Yes,Don't know,Don't know,Maybe,No
521,Don't know,Not sure,Don't know,Don't know,Yes,Don't know,Maybe,Maybe
522,No,No,No,No,Don't know,Don't know,Maybe,Maybe
523,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,Maybe,Yes
524,Don't know,Yes,Don't know,No,Yes,Somewhat difficult,Maybe,No
525,Yes,Yes,Yes,Yes,Yes,Very easy,Maybe,Maybe
526,Yes,Yes,Don't know,Don't know,Yes,Somewhat easy,No,No
527,No,Yes,Yes,No,No,Somewhat difficult,Yes,Yes
528,Yes,Yes,No,Yes,Yes,Very easy,No,No
529,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,Maybe,Maybe
530,No,No,No,No,Don't know,Don't know,No,No
531,Yes,Yes,Yes,Yes,Don't know,Somewhat easy,No,No
532,No,No,No,No,No,Very difficult,Yes,Maybe
533,Don't know,No,No,Don't know,Don't know,Very easy,No,No
534,Don't know,Not sure,Don't know,No,Don't know,Don't know,Yes,Maybe
535,No,Yes,No,No,No,Somewhat difficult,Yes,No
536,Yes,Yes,Yes,Yes,Don't know,Somewhat easy,Yes,No
537,Don't know,No,No,Don't know,Don't know,Don't know,Maybe,No
538,Don't know,No,No,No,Don't know,Don't know,Maybe,Maybe
539,Yes,Yes,No,Don't know,Don't know,Don't know,No,No
540,Don't know,No,No,No,Don't know,Somewhat difficult,Maybe,No
541,Yes,Yes,No,No,Yes,Somewhat easy,No,No
542,Don't know,No,No,No,Don't know,Don't know,No,No
543,Yes,No,No,Don't know,Don't know,Don't know,Yes,Yes
544,No,Not sure,No,No,Yes,Somewhat difficult,Yes,Yes
545,Don't know,Not sure,No,No,Don't know,Very easy,Maybe,No
546,Don't know,Not sure,Don't know,Don't know,Don't know,Very easy,No,No
547,Yes,No,No,Yes,Don't know,Somewhat difficult,Yes,No
548,Yes,Yes,Yes,Yes,Yes,Don't know,No,No
549,No,No,Don't know,No,Don't know,Somewhat easy,Maybe,No
550,Don't know,Not sure,No,No,Don't know,Don't know,Maybe,No
551,No,No,No,No,Don't know,Very easy,No,No
552,No,No,No,No,Don't know,Don't know,Maybe,No
553,No,Yes,Yes,No,Yes,Somewhat easy,Maybe,No
554,No,No,No,No,Don't know,Somewhat easy,Maybe,Maybe
555,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,Maybe,No
556,Yes,Yes,Yes,Yes,Yes,Very easy,No,No
557,Don't know,No,Don't know,Don't know,Don't know,Don't know,Yes,No
558,No,Not sure,No,Don't know,Don't know,Somewhat easy,No,No
559,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,Maybe,Maybe
560,No,No,No,No,Don't know,Very easy,Maybe,No
561,Don't know,No,No,Don't know,Don't know,Don't know,No,No
562,Don't know,Not sure,Don't know,Don't know,Yes,Very easy,No,No
563,Don't know,Not sure,No,Don't know,Don't know,Don't know,No,No
564,No,No,No,No,Don't know,Somewhat difficult,No,No
565,Yes,Yes,No,No,Yes,Somewhat difficult,Maybe,No
566,Yes,Not sure,Yes,Don't know,Yes,Don't know,Yes,Maybe
567,Yes,No,No,Yes,Don't know,Somewhat easy,No,No
568,Yes,Not sure,Don't know,Don't know,Don't know,Somewhat easy,Maybe,No
569,Don't know,No,No,No,Don't know,Don't know,Maybe,Maybe
570,No,Yes,No,No,Don't know,Don't know,Maybe,No
571,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,Maybe
572,Don't know,Not sure,Don't know,Yes,Don't know,Don't know,No,No
573,Yes,Yes,No,No,Yes,Somewhat difficult,No,No
574,No,Yes,No,No,Don't know,Don't know,No,No
575,Don't know,No,No,Don't know,Don't know,Somewhat easy,No,No
576,Don't know,No,Don't know,No,Don't know,Don't know,No,No
577,Don't know,Not sure,No,No,Yes,Very easy,No,No
578,Yes,Yes,No,No,Yes,Very difficult,Yes,No
579,Yes,No,No,No,Don't know,Don't know,Maybe,No
580,Yes,No,No,No,Don't know,Don't know,Maybe,Maybe
581,Don't know,No,No,Don't know,Don't know,Don't know,No,No
582,Yes,Not sure,Yes,Yes,Yes,Somewhat difficult,Maybe,No
583,No,Yes,No,No,Yes,Very easy,No,No
584,No,No,No,No,Yes,Don't know,Yes,No
585,Don't know,Not sure,No,No,Don't know,Somewhat easy,Maybe,Maybe
586,No,No,No,No,Don't know,Don't know,Maybe,No
587,Yes,Yes,Yes,No,Yes,Don't know,Maybe,No
588,No,No,No,No,Don't know,Somewhat easy,Maybe,No
589,No,Yes,No,No,Don't know,Somewhat easy,No,No
590,Yes,Yes,No,No,Don't know,Don't know,Maybe,No
591,Don't know,No,No,No,No,Somewhat difficult,Yes,No
592,No,No,No,No,Don't know,Don't know,Maybe,Maybe
593,Yes,Not sure,Yes,Yes,Don't know,Don't know,Maybe,No
594,Yes,Yes,Yes,Yes,Don't know,Don't know,No,No
595,Yes,Not sure,Don't know,Don't know,Don't know,Don't know,No,No
596,Yes,Not sure,No,No,Don't know,Somewhat difficult,Yes,Maybe
597,Don't know,No,No,Don't know,Don't know,Don't know,Yes,No
598,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,No,No
599,No,No,No,Don't know,Don't know,Somewhat difficult,Yes,Yes
600,Yes,Yes,Yes,Yes,Don't know,Don't know,No,No
601,No,No,Yes,Yes,Don't know,Very easy,No,No
602,Yes,Not sure,No,No,Yes,Somewhat difficult,Yes,Yes
603,No,Yes,No,Yes,Yes,Somewhat difficult,No,No
604,Yes,Not sure,Don't know,Don't know,Yes,Don't know,Maybe,Maybe
605,No,Yes,No,No,Don't know,Don't know,Maybe,Maybe
606,Don't know,No,No,Don't know,Don't know,Don't know,Yes,Maybe
607,Don't know,Not sure,No,No,Don't know,Don't know,Maybe,Yes
608,Don't know,No,No,No,Don't know,Don't know,No,No
609,No,No,No,No,Don't know,Don't know,Yes,No
610,No,Yes,No,No,Yes,Somewhat easy,No,No
611,No,Yes,No,No,Don't know,Very easy,No,No
612,Don't know,No,No,No,Don't know,Don't know,Maybe,No
613,Don't know,Not sure,No,No,Don't know,Somewhat easy,Maybe,No
614,Yes,No,No,No,Don't know,Very easy,Yes,Maybe
615,No,Not sure,No,Yes,Don't know,Somewhat difficult,No,No
616,Yes,No,Yes,Don't know,Don't know,Don't know,No,No
617,Yes,Yes,No,No,Yes,Very difficult,Yes,No
618,No,Not sure,No,Don't know,Don't know,Don't know,Maybe,Maybe
619,Yes,Yes,No,No,Yes,Very easy,No,No
620,Don't know,No,No,No,Don't know,Somewhat easy,No,No
621,Don't know,Not sure,No,No,Don't know,Don't know,No,Maybe
622,Yes,Yes,No,No,Don't know,Very easy,Maybe,No
623,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Yes,Maybe
624,Don't know,No,No,No,Don't know,Don't know,No,No
625,Yes,Yes,Yes,Yes,Don't know,Somewhat difficult,Maybe,No
626,Yes,Yes,No,No,Don't know,Somewhat difficult,Yes,Maybe
627,No,Yes,No,No,Yes,Somewhat easy,No,No
628,No,Yes,No,No,Yes,Very difficult,Yes,Maybe
629,Yes,Not sure,No,Don't know,Don't know,Don't know,Yes,No
630,No,No,No,No,Don't know,Don't know,Maybe,No
631,Yes,Yes,No,No,Don't know,Don't know,Yes,Maybe
632,No,No,No,No,No,Very easy,No,No
633,Yes,Yes,No,Don't know,Don't know,Somewhat easy,Maybe,No
634,Don't know,No,Yes,Don't know,Don't know,Very easy,No,No
635,No,No,No,No,Don't know,Somewhat easy,No,No
636,No,No,No,No,Don't know,Somewhat easy,No,No
637,No,No,No,No,Yes,Somewhat easy,No,No
638,Yes,Not sure,No,No,Yes,Very easy,No,No
639,No,Yes,Yes,No,Don't know,Somewhat difficult,Yes,Yes
640,Yes,Yes,No,No,Yes,Very easy,No,No
641,No,No,No,No,Don't know,Very easy,Maybe,No
642,Yes,Yes,Yes,Yes,No,Somewhat difficult,Yes,No
643,Yes,Yes,No,Yes,Yes,Somewhat difficult,Yes,Maybe
644,Yes,No,No,No,No,Don't know,Maybe,No
645,No,No,No,No,Don't know,Don't know,Yes,Maybe
646,No,No,No,No,Don't know,Don't know,Maybe,No
647,No,No,No,No,Don't know,Very easy,No,No
648,No,Yes,Yes,Yes,Don't know,Somewhat easy,No,No
649,No,No,No,No,Don't know,Don't know,No,No
650,Don't know,No,Yes,Yes,Don't know,Don't know,No,No
651,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,Maybe,Maybe
652,Don't know,Not sure,No,No,Don't know,Very easy,No,No
653,Don't know,No,Yes,Yes,Don't know,Don't know,Yes,Maybe
654,Yes,Not sure,Yes,Yes,Don't know,Very easy,Maybe,No
655,No,No,No,No,Don't know,Don't know,Maybe,No
656,No,No,No,No,No,Somewhat difficult,No,Maybe
657,No,No,No,No,Don't know,Don't know,No,No
658,Yes,Yes,No,Don't know,Yes,Don't know,Maybe,No
659,Don't know,No,No,Don't know,Don't know,Somewhat easy,No,No
660,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No
661,Don't know,No,No,Don't know,Don't know,Don't know,No,No
662,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,Maybe,Maybe
663,No,No,No,No,Don't know,Somewhat difficult,Maybe,No
664,Don't know,No,No,No,Yes,Very easy,No,No
665,No,No,Don't know,No,Don't know,Very difficult,Maybe,Maybe
666,Don't know,No,Don't know,Don't know,Don't know,Very easy,Maybe,Maybe
667,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,No,No
668,No,No,No,No,Don't know,Don't know,Maybe,Maybe
669,Don't know,No,No,No,Don't know,Don't know,No,No
670,No,Not sure,No,Don't know,Don't know,Somewhat difficult,No,No
671,Don't know,Not sure,No,Don't know,Don't know,Don't know,Maybe,No
672,Yes,Not sure,Don't know,Yes,Don't know,Somewhat easy,No,No
673,Don't know,No,Don't know,Don't know,Don't know,Don't know,Maybe,No
674,Don't know,No,No,No,Don't know,Don't know,Maybe,Maybe
675,Don't know,Not sure,No,Don't know,Don't know,Don't know,No,No
676,No,No,No,No,Don't know,Don't know,Maybe,Maybe
677,Don't know,No,No,No,Don't know,Don't know,Yes,No
678,No,Yes,No,No,Yes,Very easy,No,No
679,Yes,Not sure,No,Yes,Don't know,Very easy,No,No
680,No,No,No,No,Don't know,Somewhat easy,Maybe,No
681,Yes,Yes,Yes,Yes,Don't know,Don't know,No,No
682,Don't know,Not sure,No,No,Don't know,Somewhat difficult,Maybe,Maybe
683,Yes,Yes,Yes,Don't know,Yes,Somewhat easy,No,No
684,No,No,No,No,Don't know,Don't know,Yes,Maybe
685,Don't know,Not sure,No,Don't know,Don't know,Don't know,Yes,Maybe
686,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No
687,Yes,Not sure,Yes,Yes,Yes,Somewhat easy,Maybe,Maybe
688,Don't know,No,No,No,Don't know,Don't know,Maybe,No
689,Don't know,Not sure,Yes,Don't know,Yes,Very easy,No,No
690,Yes,No,No,No,Don't know,Somewhat easy,Maybe,Maybe
691,No,No,No,No,Yes,Somewhat easy,No,No
692,Don't know,No,No,Don't know,Yes,Somewhat easy,No,No
693,Yes,Not sure,Don't know,Don't know,Don't know,Somewhat easy,No,No
694,No,No,No,No,Don't know,Don't know,Yes,No
695,Yes,Yes,No,No,Yes,Very easy,No,No
696,No,No,No,No,Don't know,Somewhat easy,Maybe,Maybe
697,No,Yes,No,No,Don't know,Very difficult,Yes,Maybe
698,Don't know,No,No,Don't know,Don't know,Don't know,Maybe,Maybe
699,No,No,No,Don't know,Don't know,Somewhat difficult,Maybe,Maybe
700,Yes,No,No,Don't know,Don't know,Don't know,Maybe,No
701,No,Yes,Yes,Yes,No,Very difficult,No,No
702,Yes,Yes,Don't know,Don't know,Yes,Don't know,Maybe,No
703,Yes,Yes,Yes,No,Yes,Somewhat easy,No,No
704,Yes,Not sure,No,Yes,Don't know,Somewhat easy,Yes,No
705,Don't know,No,No,No,Don't know,Don't know,Maybe,No
706,Don't know,Not sure,No,No,Don't know,Don't know,Yes,Yes
707,Don't know,Not sure,Don't know,Don't know,Don't know,Very easy,No,No
708,Don't know,Not sure,No,Don't know,Don't know,Don't know,Yes,No
709,Yes,Yes,No,No,Yes,Very easy,No,No
710,No,No,No,No,Don't know,Somewhat easy,Maybe,Maybe
711,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,No,No
712,Don't know,No,No,Don't know,Don't know,Very easy,No,No
713,Yes,Yes,No,Yes,Yes,Don't know,Maybe,No
714,Yes,Yes,Don't know,Don't know,Don't know,Very difficult,Yes,Maybe
715,No,No,No,No,Don't know,Somewhat difficult,Yes,No
716,Yes,Yes,Don't know,Yes,Yes,Somewhat easy,Maybe,Maybe
717,Yes,Yes,Yes,No,Yes,Somewhat easy,No,No
718,No,No,No,No,Don't know,Very easy,No,No
719,Yes,Not sure,No,Don't know,Don't know,Don't know,No,No
720,Don't know,No,No,No,Don't know,Don't know,Maybe,No
721,Don't know,No,No,No,No,Very difficult,Yes,No
722,No,Yes,No,No,Don't know,Somewhat difficult,Maybe,Maybe
723,Don't know,No,Yes,Don't know,Don't know,Don't know,Yes,No
724,No,Yes,No,No,Don't know,Don't know,No,No
725,No,No,No,No,No,Don't know,No,No
726,Don't know,No,No,No,Don't know,Very easy,Maybe,Maybe
727,Don't know,No,No,No,No,Very difficult,Yes,Yes
728,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,No,No
729,No,No,No,No,Yes,Very difficult,Yes,No
730,No,No,No,No,Don't know,Don't know,Yes,No
731,No,No,Yes,No,Don't know,Don't know,Maybe,No
732,Don't know,Not sure,No,No,Don't know,Very easy,No,No
733,Yes,Yes,Yes,Yes,Yes,Don't know,No,No
734,Don't know,Not sure,No,No,Don't know,Somewhat easy,No,No
735,No,Not sure,No,No,Don't know,Very easy,No,No
736,Yes,Yes,Don't know,Yes,Yes,Don't know,No,No
737,Don't know,Not sure,No,No,Don't know,Don't know,Maybe,No
738,No,No,No,Yes,Yes,Don't know,Maybe,No
739,Don't know,No,Don't know,Don't know,Don't know,Don't know,Yes,Maybe
740,No,Yes,No,No,Yes,Very easy,No,No
741,No,Yes,No,No,Don't know,Very difficult,Yes,Maybe
742,No,No,No,No,Don't know,Very easy,No,No
743,Yes,Yes,No,Don't know,Don't know,Somewhat easy,Maybe,No
744,Yes,Yes,No,No,Don't know,Very difficult,Maybe,Maybe
745,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,No,No
746,Yes,Not sure,No,Don't know,Yes,Very easy,No,No
747,No,No,No,No,No,Somewhat difficult,Maybe,No
748,Yes,Yes,Yes,Yes,Yes,Very easy,No,No
749,Don't know,Not sure,No,No,Don't know,Somewhat difficult,No,No
750,Yes,Yes,No,No,Don't know,Very easy,No,No
751,Don't know,Not sure,Yes,Yes,Yes,Very easy,No,No
752,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,Maybe,No
753,No,No,No,No,Yes,Very easy,No,No
754,Yes,Yes,Yes,Yes,Yes,Very easy,No,No
755,Don't know,No,No,Don't know,Don't know,Don't know,Maybe,No
756,Yes,Not sure,No,Don't know,Don't know,Don't know,Maybe,No
757,Yes,No,Yes,Don't know,Don't know,Somewhat difficult,Yes,Maybe
758,No,No,No,No,Yes,Somewhat easy,Maybe,Maybe
759,No,Yes,No,No,No,Don't know,Yes,No
760,No,Yes,No,No,Yes,Somewhat easy,No,No
761,Yes,Yes,Yes,Yes,Don't know,Don't know,Maybe,Maybe
762,No,No,No,No,Don't know,Very easy,No,No
763,No,No,No,No,No,Very difficult,Yes,Yes
764,Don't know,Not sure,Yes,Don't know,Don't know,Somewhat easy,Yes,No
765,No,No,Yes,No,Yes,Somewhat easy,No,No
766,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,Yes
767,Don't know,Not sure,No,Don't know,Don't know,Somewhat easy,No,No
768,Yes,No,No,No,Don't know,Don't know,Maybe,Maybe
769,Don't know,Not sure,No,No,Don't know,Somewhat easy,No,No
770,Don't know,No,No,No,Don't know,Don't know,Maybe,Maybe
771,No,Yes,No,No,Yes,Very easy,Maybe,Maybe
772,Don't know,Not sure,No,Don't know,Don't know,Don't know,Maybe,No
773,Don't know,Not sure,No,Don't know,Don't know,Don't know,No,No
774,No,No,No,No,Yes,Somewhat easy,Yes,No
775,Yes,Yes,Yes,Yes,Yes,Very easy,Yes,No
776,Don't know,No,No,Don't know,Don't know,Don't know,Maybe,No
777,Don't know,No,Yes,Yes,Don't know,Don't know,No,No
778,Don't know,Not sure,No,Yes,Don't know,Don't know,Maybe,No
779,Don't know,No,No,No,Don't know,Don't know,No,No
780,Don't know,No,No,Don't know,Don't know,Don't know,No,No
781,No,Yes,No,No,Yes,Somewhat difficult,No,No
782,Don't know,Not sure,Don't know,Don't know,Yes,Very easy,No,No
783,Don't know,No,No,No,Don't know,Don't know,No,No
784,Don't know,No,No,No,Don't know,Don't know,No,No
785,Yes,Yes,Yes,Yes,Yes,Don't know,Maybe,No
786,No,Yes,No,No,Yes,Somewhat easy,No,No
787,Yes,Yes,Don't know,Don't know,Yes,Don't know,Maybe,No
788,Don't know,No,Don't know,Don't know,Don't know,Somewhat easy,Maybe,No
789,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No
790,Don't know,Not sure,No,No,Don't know,Somewhat easy,No,No
791,Yes,Yes,Don't know,Don't know,Don't know,Don't know,Maybe,Maybe
792,Don't know,Not sure,No,No,Yes,Somewhat difficult,Yes,No
793,Yes,No,No,No,Yes,Very difficult,Yes,Maybe
794,Don't know,Not sure,Don't know,Don't know,Don't know,Very difficult,Yes,Maybe
795,Yes,Yes,No,No,Don't know,Somewhat easy,Maybe,No
796,Yes,No,No,Don't know,Don't know,Don't know,Yes,No
797,Don't know,No,No,No,Don't know,Don't know,Maybe,No
798,No,No,No,No,Don't know,Don't know,Maybe,No
799,Don't know,No,Don't know,Don't know,Don't know,Very easy,Maybe,No
800,Yes,Yes,Yes,No,Yes,Very easy,Yes,Maybe
801,No,Yes,No,No,Don't know,Very easy,No,No
802,Yes,No,No,No,Don't know,Don't know,Yes,Maybe
803,Yes,Yes,Yes,Yes,Yes,Very easy,No,No
804,Don't know,Not sure,No,Don't know,Don't know,Somewhat easy,Maybe,Maybe
805,No,Yes,No,No,Don't know,Somewhat difficult,Yes,Maybe
806,Yes,Yes,Yes,Yes,Yes,Don't know,Maybe,No
807,Don't know,No,No,Don't know,Don't know,Don't know,No,No
808,Don't know,Not sure,No,Don't know,Don't know,Very easy,No,No
809,Yes,Yes,No,Yes,Don't know,Don't know,Maybe,No
810,Don't know,No,No,No,Don't know,Don't know,Maybe,No
811,No,No,No,No,Don't know,Somewhat difficult,No,No
812,No,No,No,No,Yes,Very difficult,Yes,No
813,No,Yes,No,No,Don't know,Don't know,Maybe,Maybe
814,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,Maybe,No
815,Don't know,Not sure,No,Don't know,Don't know,Don't know,Yes,No
816,Yes,Yes,Yes,Yes,Yes,Very difficult,Maybe,No
817,No,Yes,No,No,No,Very easy,Yes,Yes
818,No,Not sure,Yes,Yes,Yes,Very easy,No,No
819,No,Yes,Yes,No,Don't know,Somewhat easy,No,No
820,Yes,Not sure,Yes,Don't know,Don't know,Don't know,Yes,Maybe
821,No,Yes,Yes,No,Don't know,Somewhat easy,No,No
822,No,Yes,No,No,No,Very difficult,Yes,Yes
823,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,No,No
824,Yes,No,Yes,Yes,Don't know,Don't know,No,No
825,Don't know,No,No,No,No,Very difficult,Yes,Yes
826,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,No,No
827,Don't know,Not sure,No,No,Don't know,Somewhat easy,Yes,Maybe
828,Don't know,No,No,No,Don't know,Don't know,Maybe,No
829,No,Yes,No,No,Yes,Don't know,No,No
830,Yes,Yes,No,Yes,Yes,Very easy,Maybe,No
831,Yes,Not sure,No,Don't know,Don't know,Don't know,Maybe,No
832,No,Yes,No,No,Yes,Very easy,No,No
833,Yes,Not sure,Don't know,No,Don't know,Don't know,No,No
834,No,No,No,No,Don't know,Don't know,Yes,No
835,Don't know,No,No,No,Don't know,Somewhat difficult,Maybe,No
836,Yes,Yes,No,No,Yes,Very easy,No,No
837,Don't know,No,No,Don't know,Don't know,Very difficult,Yes,Yes
838,Don't know,No,No,No,Don't know,Very easy,Maybe,No
839,Yes,Yes,Yes,Yes,Yes,Somewhat difficult,No,No
840,Don't know,No,No,Don't know,Don't know,Very difficult,Maybe,No
841,No,No,No,No,Don't know,Somewhat difficult,No,No
842,Yes,Yes,No,No,Don't know,Somewhat difficult,No,No
843,Don't know,Not sure,Yes,Don't know,Don't know,Don't know,Maybe,No
844,Yes,No,No,No,Yes,Somewhat difficult,No,No
845,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,Yes,Yes
846,Don't know,No,Yes,Don't know,Yes,Don't know,Maybe,No
847,No,No,No,No,Don't know,Very easy,No,No
848,No,Yes,No,No,Yes,Very easy,No,No
849,Yes,Yes,Yes,Yes,Yes,Don't know,No,No
850,No,Yes,No,No,Don't know,Somewhat easy,Maybe,No
851,Yes,Yes,No,Don't know,Yes,Don't know,Maybe,No
852,No,No,No,No,Yes,Somewhat easy,Maybe,No
853,No,No,No,No,Don't know,Very difficult,Yes,Maybe
854,Don't know,Not sure,No,No,Don't know,Don't know,Maybe,No
855,Yes,Yes,Yes,Yes,Yes,Very easy,No,No
856,Yes,Yes,Yes,Yes,Yes,Very easy,No,No
857,Don't know,Not sure,Don't know,No,Yes,Somewhat easy,No,No
858,No,No,No,No,Don't know,Don't know,Maybe,No
859,No,No,No,No,No,Don't know,Yes,Maybe
860,No,No,No,No,No,Don't know,Yes,Maybe
861,No,Not sure,Don't know,Don't know,Don't know,Somewhat difficult,No,No
862,Don't know,No,Don't know,Don't know,Don't know,Don't know,Maybe,No
863,No,Yes,No,No,Don't know,Very difficult,Yes,No
864,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Yes,Maybe
